"Code";"EAN koda";"Product name";"Žeton";"Kratek opis";"Podroben opis";"Stamp";"Kategorije";"Objavljeno";"Arhivirano";"Košarica";"Mission";"New";"Priporočamo";"Zaloga";"Nabavna cena";"Prodajna cena";"online price";"Funkcijska cena";"DDV v %";"Teža v kg";"Unit";"Podenota";"Prikazna slika";"Dodatna fotografija 1";"Dodatna fotografija 2";"Dodatna fotografija 3";"Dodatna fotografija 4";"Dodatna fotografija 5";"Dodatna fotografija 6";"Dodatna fotografija 7";"Dodatna fotografija 8";"Količina v paketu";"Min. količina za naročilo";"Max. količina za naročilo";"Qty step";"Dobava od";"Dobava do";"Ni sinhronizacije";"Koda nadprodukta";"Kode povezanih produktov";"Kode dodatnih storitev";"Skladišče Open Ocean Sports GmbH (Main warehouse)";"Skladišče Cobra International Co., LTD (Board production)";"Skladišče Open Ocean Sports GmbH (Open Ocean warehouse)";"Skladišče Marketing France (Marketing FR)";"Skladišče Transit 1 (Cobra) E.S.T. end of January (Transit 1)";"Skladišče Transit 2 (China) E.S.T. (Transit 2)";"Skladišče Nicholas Warembourg (Nico - Team Rider)";"Skladišče Nicolas Reynes (Nicolas - team rider)";"Skladišče Tine Slabe (Tine - team rider)";"Skladišče Transit 4 (Ukraine) EST 05.04. (Transit 4)";"Skladišče Transit 5 (Airfright China) ETA 20.06. (Transit 5)";"Skladišče Germany one (Germany one)";"Skladišče Germany two (Germany two)";"Skladišče Slovenia one (Slovenia one)";"Skladišče Surfline Kiel (Surfline Kiel)";"Skladišče Global Creation Sports Gear LTD. (China production)";"Skladišče ExW (Time2Enjoy (Australia))";"Skladišče Thomas Goyard (Goyard)";"Skladišče Test parc France (Test Parc FR)";"Skladišče Miry 24 Logistik GmbH (Warehouse Hamburg)";"Skladišče not valid stock (''Inventory'')";"Skladišče GR (Test Parc GER)";"Skladišče Warehouse Switzerland (Warehouse Switzerland)";"Skladišče Time 4 Action (T4A)";"Size";"Available for preorder"
"P13200010005";"4262431697242";"US Fin Screw M4 x 25 & Washer";"p13200010005";"";"";"";"SPARE PARTS\Board spare parts";"1";"0";"1";"0";"0";"0";"Contact distributor";"0,0000";"0,0000";"0,4900";"0,4900";"0,0000";"0,00";"set";"";"https://www.patrikinternational.com/assets/shop_product/patrikscrewus-box1.jpg";"";"";"";"";"";"";"";"";"1,0000";"0,000";"0,000";"0,000";"0";"0";"0";"PATRIK_FIN_SCREW";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"70";"US";""
"P13200010007";"4262431697266";"Slotbox Screw";"p13200010007";"";"";"";"SPARE PARTS\Board spare parts";"1";"0";"1";"0";"0";"0";"Contact distributor";"0,0000";"0,0000";"0,6100";"0,6100";"0,0000";"0,00";"kos";"";"https://www.patrikinternational.com/assets/shop_product/patrikscrewslotbox1.jpg";"";"";"";"";"";"";"";"";"1,0000";"0,000";"0,000";"0,000";"0";"0";"0";"PATRIK_FIN_SCREW";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"12";"SLOT";""
"P13200010006";"4262431697259";"Airvalve Screw + Rubber Ring";"p13200010006";"";"";"";"SPARE PARTS\Board spare parts";"1";"0";"1";"0";"0";"0";"Contact distributor";"0,0000";"0,0000";"1,2500";"1,2500";"0,0000";"0,00";"kos";"";"https://www.patrikinternational.com/assets/shop_product/patrikairvalvefullcore-boards4.jpg";"https://www.patrikinternational.com/assets/shop_product_pic/patrikairvalvefullcore-boards3.jpg";"";"";"";"";"";"";"";"1,0000";"0,000";"0,000";"0,000";"0";"0";"0";"PATRIK_AIRVALVE";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"719";"FULLCORE";""
"P13200010008";"4262431697273";"Airvalve Screw Airinside";"p13200010008";"";"";"";"SPARE PARTS\Board spare parts";"1";"0";"1";"0";"0";"0";"Contact distributor";"0,0000";"0,0000";"5,0000";"5,0000";"0,0000";"0,00";"kos";"";"https://www.patrikinternational.com/assets/shop_product/patrikairvalveairinside-boards1.jpg";"https://www.patrikinternational.com/assets/shop_product_pic/patrikairvalveairinside-boards2.jpg";"https://www.patrikinternational.com/assets/shop_product_pic/patrikairvalveairinside-boards3.jpg";"";"";"";"";"";"";"1,0000";"0,000";"0,000";"0,000";"0";"0";"0";"PATRIK_AIRVALVE";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8";"0";"0";"0";"0";"35";"AIRINSIDE";""
"P14230001000";"4262431699185";"Patrik Tekcam RDM";"p14230001000";"";"";"";"SPARE PARTS\Rig spare parts";"1";"0";"1";"0";"0";"0";"Contact distributor";"0,0000";"0,0000";"3,7050";"3,7050";"0,0000";"0,00";"kos";"";"https://www.patrikinternational.com/assets/shop_product/sparecambertekcam-reduced1.jpg";"https://www.patrikinternational.com/assets/shop_product_pic/sparecambertekcam-reduced2.jpg";"";"";"";"";"";"";"";"1,0000";"0,000";"0,000";"0,000";"0";"0";"0";"PATRIK_CAMBER";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"22";"Tekcam REDUCED";""
"P14230001103";"4262431699215";"Patrik Tekcam SDM";"p14230001103";"";"";"";"SPARE PARTS\Rig spare parts";"1";"0";"1";"0";"0";"0";"Contact distributor";"0,0000";"0,0000";"3,7050";"3,7050";"0,0000";"0,00";"kos";"";"https://www.patrikinternational.com/assets/shop_product/sparecambertekcam-large1.jpg";"https://www.patrikinternational.com/assets/shop_product_pic/sparecambertekcam-large2.jpg";"";"";"";"";"";"";"";"1,0000";"0,000";"0,000";"0,000";"0";"0";"0";"PATRIK_CAMBER";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"30";"Tekcam LARGE";""
"P14219001001";"";"Camber PATRIK XL";"p14219001001";"";"";"";"SPARE PARTS\Rig spare parts";"1";"0";"1";"0";"0";"0";"Contact distributor";"0,0000";"0,0000";"2,5400";"2,5400";"0,0000";"0,00";"kos";"";"";"";"";"";"";"";"";"";"";"1,0000";"0,000";"0,000";"0,000";"0";"0";"0";"PATRIK_CAMBER";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"";""
"P14219001006";"4262431697327";"Batten Tensioner";"p14219001006";"";"";"";"SPARE PARTS\Rig spare parts";"1";"0";"1";"0";"0";"0";"Contact distributor";"0,0000";"0,0000";"0,7505";"0,7505";"0,0000";"0,00";"kos";"";"https://www.patrikinternational.com/assets/shop_product/sparebatten-tensionerclassic-variant.jpg";"";"";"";"";"";"";"";"";"1,0000";"0,000";"0,000";"0,000";"0";"0";"0";"PATRIK_TENSIONER";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"Batten tensioner";""
"P14219001007";"4262431697334";"Tube Tensioner";"p14219001007";"";"";"";"SPARE PARTS\Rig spare parts";"1";"0";"1";"0";"0";"0";"Contact distributor";"0,0000";"0,0000";"0,7505";"0,7505";"0,0000";"0,00";"kos";"";"https://www.patrikinternational.com/assets/shop_product/sparebatten-tensionertube-variant.jpg";"";"";"";"";"";"";"";"";"1,0000";"0,000";"0,000";"0,000";"0";"0";"0";"PATRIK_TENSIONER";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"20";"0";"0";"0";"0";"146";"Tube tensioner";""
"P14219001008";"4262431697341";"Sleeve Top Pin";"p14219001008";"";"";"";"SPARE PARTS\Rig spare parts";"1";"0";"1";"0";"0";"0";"Contact distributor";"0,0000";"0,0000";"0,5320";"0,5320";"0,0000";"0,00";"kos";"";"https://www.patrikinternational.com/assets/shop_product/sparesleeve-top-pin.jpg";"";"";"";"";"";"";"";"";"1,0000";"0,000";"0,000";"0,000";"0";"0";"0";"PATRIK_SLEEVE_TOP";"";"";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"49";"Pin";""
